AÑO;CCAA;PROVINCIA;ZONA_BAÑO_MARÍTIMA;ZONA_BAÑO_CONTINENTAL;PM_CALIDAD_AGUA_INSUFICIENTE;PM_CALIDAD_AGUA_SUFICIENTE;PM_CALIDAD_AGUA_BUENA;PM_CALIDAD_AGUA_EXCELENTE;PM_CALIDAD_AGUA_SIN_CALIFICAR
2011;Región de Murcia;Murcia;77,0;1,0;;;1,0;77,0;3,0
2012;Región de Murcia;Murcia;77,0;1,0;;1,0;3,0;77,0;
2013;Región de Murcia;Murcia;81,0;1,0;;;2,0;79,0;3,0
2014;Región de Murcia;Murcia;81,0;1,0;;;2,0;82,0;
2015;Región de Murcia;Murcia;80,0;0,0;;;1,0;81,0;
2016;Región de Murcia;Murcia;80,0;0,0;;;;82,0;
2017;Región de Murcia;Murcia;82,0;0,0;;;;82,0;2,0
2018;Región de Murcia;Murcia;82,0;0,0;;;;84,0;
2019;Región de Murcia;Murcia;81,0;0,0;;;;83,0;
2020;Región de Murcia;Murcia;81,0;0,0;;;;83,0;
2021;Región de Murcia;Murcia;82,0;0,0;;;;83,0;1,0
2022;Región de Murcia;Murcia;82,0;0,0;;;1,0;83,0;
